username,handle,content,timestamp,retweets,likes,replies,tweet_id,matched_keywords,sentiment_score,sentiment_label,confidence,hazard_category,source,location,verified
OceanWatch,oceanwatch,Massive tsunami warning issued for Pacific coast. Waves up to 15 feet expected. Evacuate immediately! #tsunami #safety,2025-09-11 01:05,1200,2500,300,mock_19,['tsunami'],-0.16249999999999998,negative,0.24374999999999997,tsunami,MOCK_DATA,,True
ClimateScientist,climatescience,Rising sea levels are accelerating coastal erosion worldwide. We need immediate action on climate change.,2025-09-11 01:05,600,1200,150,mock_20,"['coastal erosion', 'rising sea levels']",0.1,neutral,0.15000000000000002,flooding,MOCK_DATA,,False
MarineBiology,marinebio,Coral bleaching event spreading across the Pacific. Ocean warming is devastating marine ecosystems.,2025-09-11 01:05,400,900,100,mock_21,"['ocean warming', 'coral bleaching', 'marine ecosystem']",-1.0,negative,1.0,climate,MOCK_DATA,,False
MarineBiology,marinebio,Coral bleaching event spreading across the Pacific. Ocean warming is devastating marine ecosystems.,2025-09-11 01:05,400,900,100,mock_22,"['ocean warming', 'coral bleaching', 'marine ecosystem']",-1.0,negative,1.0,climate,MOCK_DATA,,False
EmergencyMgmt,emergency_mgmt,Oil spill reported 50 miles offshore. Marine pollution cleanup crews deployed. Wildlife evacuation underway.,2025-09-11 01:05,750,1100,180,mock_23,"['marine pollution', 'oil spill']",-0.3,negative,0.44999999999999996,pollution,MOCK_DATA,,True
MarineBiology,marinebio,Coral bleaching event spreading across the Pacific. Ocean warming is devastating marine ecosystems.,2025-09-11 01:05,400,900,100,mock_24,"['ocean warming', 'coral bleaching', 'marine ecosystem']",-1.0,negative,1.0,climate,MOCK_DATA,,False
MarineBiology,marinebio,Coral bleaching event spreading across the Pacific. Ocean warming is devastating marine ecosystems.,2025-09-11 01:05,400,900,100,mock_25,"['ocean warming', 'coral bleaching', 'marine ecosystem']",-1.0,negative,1.0,climate,MOCK_DATA,,False
WeatherAlert,weatheralert,Hurricane forming in the Atlantic. Storm surge could reach 20 feet along the coast. Prepare now! #hurricane #stormsurge,2025-09-11 01:05,800,1500,200,mock_26,"['storm surge', 'hurricane']",0.0,neutral,0.0,storms,MOCK_DATA,,True
OceanWatch,oceanwatch,Massive tsunami warning issued for Pacific coast. Waves up to 15 feet expected. Evacuate immediately! #tsunami #safety,2025-09-11 01:05,1200,2500,300,mock_27,['tsunami'],-0.16249999999999998,negative,0.24374999999999997,tsunami,MOCK_DATA,,True
WeatherAlert,weatheralert,Hurricane forming in the Atlantic. Storm surge could reach 20 feet along the coast. Prepare now! #hurricane #stormsurge,2025-09-11 01:05,800,1500,200,mock_28,"['storm surge', 'hurricane']",0.0,neutral,0.0,storms,MOCK_DATA,,True
EmergencyMgmt,emergency_mgmt,Oil spill reported 50 miles offshore. Marine pollution cleanup crews deployed. Wildlife evacuation underway.,2025-09-11 01:05,750,1100,180,mock_29,"['marine pollution', 'oil spill']",-0.3,negative,0.44999999999999996,pollution,MOCK_DATA,,True
ClimateScientist,climatescience,Rising sea levels are accelerating coastal erosion worldwide. We need immediate action on climate change.,2025-09-11 01:05,600,1200,150,mock_30,"['coastal erosion', 'rising sea levels']",0.1,neutral,0.15000000000000002,flooding,MOCK_DATA,,False
ClimateScientist,climatescience,Rising sea levels are accelerating coastal erosion worldwide. We need immediate action on climate change.,2025-09-11 01:05,600,1200,150,mock_31,"['coastal erosion', 'rising sea levels']",0.1,neutral,0.15000000000000002,flooding,MOCK_DATA,,False
EmergencyMgmt,emergency_mgmt,Oil spill reported 50 miles offshore. Marine pollution cleanup crews deployed. Wildlife evacuation underway.,2025-09-11 01:05,750,1100,180,mock_32,"['marine pollution', 'oil spill']",-0.3,negative,0.44999999999999996,pollution,MOCK_DATA,,True
EmergencyMgmt,emergency_mgmt,Oil spill reported 50 miles offshore. Marine pollution cleanup crews deployed. Wildlife evacuation underway.,2025-09-11 01:05,750,1100,180,mock_33,"['marine pollution', 'oil spill']",-0.3,negative,0.44999999999999996,pollution,MOCK_DATA,,True
MarineBiology,marinebio,Coral bleaching event spreading across the Pacific. Ocean warming is devastating marine ecosystems.,2025-09-11 01:05,400,900,100,mock_34,"['ocean warming', 'coral bleaching', 'marine ecosystem']",-1.0,negative,1.0,climate,MOCK_DATA,,False
ClimateScientist,climatescience,Rising sea levels are accelerating coastal erosion worldwide. We need immediate action on climate change.,2025-09-11 01:05,600,1200,150,mock_35,"['coastal erosion', 'rising sea levels']",0.1,neutral,0.15000000000000002,flooding,MOCK_DATA,,False
OceanWatch,oceanwatch,Massive tsunami warning issued for Pacific coast. Waves up to 15 feet expected. Evacuate immediately! #tsunami #safety,2025-09-11 01:05,1200,2500,300,mock_36,['tsunami'],-0.16249999999999998,negative,0.24374999999999997,tsunami,MOCK_DATA,,True
EmergencyMgmt,emergency_mgmt,Oil spill reported 50 miles offshore. Marine pollution cleanup crews deployed. Wildlife evacuation underway.,2025-09-11 01:05,750,1100,180,mock_37,"['marine pollution', 'oil spill']",-0.3,negative,0.44999999999999996,pollution,MOCK_DATA,,True
WeatherAlert,weatheralert,Hurricane forming in the Atlantic. Storm surge could reach 20 feet along the coast. Prepare now! #hurricane #stormsurge,2025-09-11 01:05,800,1500,200,mock_38,"['storm surge', 'hurricane']",0.0,neutral,0.0,storms,MOCK_DATA,,True
OceanWatch,oceanwatch,Massive tsunami warning issued for Pacific coast. Waves up to 15 feet expected. Evacuate immediately! #tsunami #safety,2025-09-11 01:05,1200,2500,300,mock_39,['tsunami'],-0.16249999999999998,negative,0.24374999999999997,tsunami,MOCK_DATA,,True
MarineBiology,marinebio,Coral bleaching event spreading across the Pacific. Ocean warming is devastating marine ecosystems.,2025-09-11 01:05,400,900,100,mock_40,"['ocean warming', 'coral bleaching', 'marine ecosystem']",-1.0,negative,1.0,climate,MOCK_DATA,,False
OceanWatch,oceanwatch,Massive tsunami warning issued for Pacific coast. Waves up to 15 feet expected. Evacuate immediately! #tsunami #safety,2025-09-11 01:05,1200,2500,300,mock_41,['tsunami'],-0.16249999999999998,negative,0.24374999999999997,tsunami,MOCK_DATA,,True
WeatherAlert,weatheralert,Hurricane forming in the Atlantic. Storm surge could reach 20 feet along the coast. Prepare now! #hurricane #stormsurge,2025-09-11 01:05,800,1500,200,mock_42,"['storm surge', 'hurricane']",0.0,neutral,0.0,storms,MOCK_DATA,,True
OceanWatch,oceanwatch,Massive tsunami warning issued for Pacific coast. Waves up to 15 feet expected. Evacuate immediately! #tsunami #safety,2025-09-11 01:05,1200,2500,300,mock_43,['tsunami'],-0.16249999999999998,negative,0.24374999999999997,tsunami,MOCK_DATA,,True
EmergencyMgmt,emergency_mgmt,Oil spill reported 50 miles offshore. Marine pollution cleanup crews deployed. Wildlife evacuation underway.,2025-09-11 01:05,750,1100,180,mock_44,"['marine pollution', 'oil spill']",-0.3,negative,0.44999999999999996,pollution,MOCK_DATA,,True
MarineBiology,marinebio,Coral bleaching event spreading across the Pacific. Ocean warming is devastating marine ecosystems.,2025-09-11 01:05,400,900,100,mock_45,"['ocean warming', 'coral bleaching', 'marine ecosystem']",-1.0,negative,1.0,climate,MOCK_DATA,,False
ClimateScientist,climatescience,Rising sea levels are accelerating coastal erosion worldwide. We need immediate action on climate change.,2025-09-11 01:05,600,1200,150,mock_46,"['coastal erosion', 'rising sea levels']",0.1,neutral,0.15000000000000002,flooding,MOCK_DATA,,False
ClimateScientist,climatescience,Rising sea levels are accelerating coastal erosion worldwide. We need immediate action on climate change.,2025-09-11 01:05,600,1200,150,mock_47,"['coastal erosion', 'rising sea levels']",0.1,neutral,0.15000000000000002,flooding,MOCK_DATA,,False
ClimateScientist,climatescience,Rising sea levels are accelerating coastal erosion worldwide. We need immediate action on climate change.,2025-09-11 01:05,600,1200,150,mock_48,"['coastal erosion', 'rising sea levels']",0.1,neutral,0.15000000000000002,flooding,MOCK_DATA,,False
MarineBiology,marinebio,Coral bleaching event spreading across the Pacific. Ocean warming is devastating marine ecosystems.,2025-09-11 01:05,400,900,100,mock_49,"['ocean warming', 'coral bleaching', 'marine ecosystem']",-1.0,negative,1.0,climate,MOCK_DATA,,False
OceanWatch,oceanwatch,Massive tsunami warning issued for Pacific coast. Waves up to 15 feet expected. Evacuate immediately! #tsunami #safety,2025-09-11 01:05,1200,2500,300,mock_50,['tsunami'],-0.16249999999999998,negative,0.24374999999999997,tsunami,MOCK_DATA,,True
